timestamp,price,scenario,market,cap_hist,cap_da_hist
2025-05-01 00:00:00+00:00,31.848496618652938,s_000,cap,h_0,h_0
2025-05-01 00:15:00+00:00,31.848496618652938,s_000,cap,h_0,h_0
2025-05-01 00:30:00+00:00,31.848496618652938,s_000,cap,h_0,h_0
2025-05-01 00:45:00+00:00,31.848496618652938,s_000,cap,h_0,h_0
2025-05-01 01:00:00+00:00,37.5501044876313,s_000,cap,h_0,h_0
2025-05-01 01:15:00+00:00,37.5501044876313,s_000,cap,h_0,h_0
2025-05-01 01:30:00+00:00,37.5501044876313,s_000,cap,h_0,h_0
2025-05-01 01:45:00+00:00,37.5501044876313,s_000,cap,h_0,h_0
2025-05-01 02:00:00+00:00,41.365579877589596,s_000,cap,h_0,h_0
2025-05-01 02:15:00+00:00,41.365579877589596,s_000,cap,h_0,h_0
2025-05-01 02:30:00+00:00,41.365579877589596,s_000,cap,h_0,h_0
2025-05-01 02:45:00+00:00,41.365579877589596,s_000,cap,h_0,h_0
2025-05-01 03:00:00+00:00,45.33404230497328,s_000,cap,h_0,h_0
2025-05-01 03:15:00+00:00,45.33404230497328,s_000,cap,h_0,h_0
2025-05-01 03:30:00+00:00,45.33404230497328,s_000,cap,h_0,h_0
2025-05-01 03:45:00+00:00,45.33404230497328,s_000,cap,h_0,h_0
2025-05-01 04:00:00+00:00,53.17029439251922,s_000,cap,h_0,h_0
2025-05-01 04:15:00+00:00,53.17029439251922,s_000,cap,h_0,h_0
2025-05-01 04:30:00+00:00,53.17029439251922,s_000,cap,h_0,h_0
2025-05-01 04:45:00+00:00,53.17029439251922,s_000,cap,h_0,h_0
2025-05-01 05:00:00+00:00,53.64217691963029,s_000,cap,h_0,h_0
2025-05-01 05:15:00+00:00,53.64217691963029,s_000,cap,h_0,h_0
2025-05-01 05:30:00+00:00,53.64217691963029,s_000,cap,h_0,h_0
2025-05-01 05:45:00+00:00,53.64217691963029,s_000,cap,h_0,h_0
2025-05-01 06:00:00+00:00,50.955648336239875,s_000,cap,h_0,h_0
2025-05-01 06:15:00+00:00,50.955648336239875,s_000,cap,h_0,h_0
2025-05-01 06:30:00+00:00,50.955648336239875,s_000,cap,h_0,h_0
2025-05-01 06:45:00+00:00,50.955648336239875,s_000,cap,h_0,h_0
2025-05-01 07:00:00+00:00,45.698185472834936,s_000,cap,h_0,h_0
2025-05-01 07:15:00+00:00,45.698185472834936,s_000,cap,h_0,h_0
2025-05-01 07:30:00+00:00,45.698185472834936,s_000,cap,h_0,h_0
2025-05-01 07:45:00+00:00,45.698185472834936,s_000,cap,h_0,h_0
2025-05-01 08:00:00+00:00,34.10524579177161,s_000,cap,h_0,h_0
2025-05-01 08:15:00+00:00,34.10524579177161,s_000,cap,h_0,h_0
2025-05-01 08:30:00+00:00,34.10524579177161,s_000,cap,h_0,h_0
2025-05-01 08:45:00+00:00,34.10524579177161,s_000,cap,h_0,h_0
2025-05-01 09:00:00+00:00,24.858782150530875,s_000,cap,h_0,h_0
2025-05-01 09:15:00+00:00,24.858782150530875,s_000,cap,h_0,h_0
2025-05-01 09:30:00+00:00,24.858782150530875,s_000,cap,h_0,h_0
2025-05-01 09:45:00+00:00,24.858782150530875,s_000,cap,h_0,h_0
2025-05-01 10:00:00+00:00,13.889104172371887,s_000,cap,h_0,h_0
2025-05-01 10:15:00+00:00,13.889104172371887,s_000,cap,h_0,h_0
2025-05-01 10:30:00+00:00,13.889104172371887,s_000,cap,h_0,h_0
2025-05-01 10:45:00+00:00,13.889104172371887,s_000,cap,h_0,h_0
2025-05-01 11:00:00+00:00,11.235082338930379,s_000,cap,h_0,h_0
2025-05-01 11:15:00+00:00,11.235082338930379,s_000,cap,h_0,h_0
2025-05-01 11:30:00+00:00,11.235082338930379,s_000,cap,h_0,h_0
2025-05-01 11:45:00+00:00,11.235082338930379,s_000,cap,h_0,h_0
2025-05-01 12:00:00+00:00,19.759000485703663,s_000,cap,h_0,h_0
2025-05-01 12:15:00+00:00,19.759000485703663,s_000,cap,h_0,h_0
2025-05-01 12:30:00+00:00,19.759000485703663,s_000,cap,h_0,h_0
2025-05-01 12:45:00+00:00,19.759000485703663,s_000,cap,h_0,h_0
2025-05-01 13:00:00+00:00,27.751846853669903,s_000,cap,h_0,h_0
2025-05-01 13:15:00+00:00,27.751846853669903,s_000,cap,h_0,h_0
2025-05-01 13:30:00+00:00,27.751846853669903,s_000,cap,h_0,h_0
2025-05-01 13:45:00+00:00,27.751846853669903,s_000,cap,h_0,h_0
2025-05-01 14:00:00+00:00,36.664364208000734,s_000,cap,h_0,h_0
2025-05-01 14:15:00+00:00,36.664364208000734,s_000,cap,h_0,h_0
2025-05-01 14:30:00+00:00,36.664364208000734,s_000,cap,h_0,h_0
2025-05-01 14:45:00+00:00,36.664364208000734,s_000,cap,h_0,h_0
2025-05-01 15:00:00+00:00,44.150821193374796,s_000,cap,h_0,h_0
2025-05-01 15:15:00+00:00,44.150821193374796,s_000,cap,h_0,h_0
2025-05-01 15:30:00+00:00,44.150821193374796,s_000,cap,h_0,h_0
2025-05-01 15:45:00+00:00,44.150821193374796,s_000,cap,h_0,h_0
2025-05-01 16:00:00+00:00,49.35602590701326,s_000,cap,h_0,h_0
2025-05-01 16:15:00+00:00,49.35602590701326,s_000,cap,h_0,h_0
2025-05-01 16:30:00+00:00,49.35602590701326,s_000,cap,h_0,h_0
2025-05-01 16:45:00+00:00,49.35602590701326,s_000,cap,h_0,h_0
2025-05-01 17:00:00+00:00,56.288360207631726,s_000,cap,h_0,h_0
2025-05-01 17:15:00+00:00,56.288360207631726,s_000,cap,h_0,h_0
2025-05-01 17:30:00+00:00,56.288360207631726,s_000,cap,h_0,h_0
2025-05-01 17:45:00+00:00,56.288360207631726,s_000,cap,h_0,h_0
2025-05-01 18:00:00+00:00,56.8097470208234,s_000,cap,h_0,h_0
2025-05-01 18:15:00+00:00,56.8097470208234,s_000,cap,h_0,h_0
2025-05-01 18:30:00+00:00,56.8097470208234,s_000,cap,h_0,h_0
2025-05-01 18:45:00+00:00,56.8097470208234,s_000,cap,h_0,h_0
