scenario,probability
s_000,0.037037037037037035
s_001,0.037037037037037035
s_002,0.037037037037037035
s_003,0.037037037037037035
s_004,0.037037037037037035
s_005,0.037037037037037035
s_006,0.037037037037037035
s_007,0.037037037037037035
s_008,0.037037037037037035
s_009,0.037037037037037035
s_010,0.037037037037037035
s_011,0.037037037037037035
s_012,0.037037037037037035
s_013,0.037037037037037035
s_014,0.037037037037037035
s_015,0.037037037037037035
s_016,0.037037037037037035
s_017,0.037037037037037035
s_018,0.037037037037037035
s_019,0.037037037037037035
s_020,0.037037037037037035
s_021,0.037037037037037035
s_022,0.037037037037037035
s_023,0.037037037037037035
s_024,0.037037037037037035
s_025,0.037037037037037035
s_026,0.037037037037037035
