scenario,probability
scap10_da10_pic10,0.004812159294788968
scap10_da10_pic25,0.014430487104395153
scap10_da10_pic50,0.008350822506778181
scap10_da10_pic75,0.009562627128098617
scap10_da10_pic90,0.011564520668085639
scap10_da25_pic10,0.012381213904804686
scap10_da25_pic25,0.011404610926342337
scap10_da25_pic50,0.005046013303948439
scap10_da25_pic75,0.014618119315191545
scap10_da25_pic90,0.0034529330950238404
scap10_da50_pic10,0.014708650062314452
scap10_da50_pic25,0.009132165688749293
scap10_da50_pic50,0.010037434808830877
scap10_da50_pic75,0.0032366218727472884
scap10_da50_pic90,0.003963430736432631
scap10_da75_pic10,0.0030824619999337507
scap10_da75_pic25,0.016198448764595988
scap10_da75_pic50,0.015927775094199938
scap10_da75_pic75,0.009261355107779158
scap10_da75_pic90,0.004525091123042908
scap10_da90_pic10,0.004288005246223231
scap10_da90_pic25,0.0024848092453344894
scap10_da90_pic50,0.014384406176407993
scap10_da90_pic75,0.006190081126805959
scap10_da90_pic90,0.016317728805902976
scap25_da10_pic10,0.006049837290806584
scap25_da10_pic25,0.008106772545458088
scap25_da10_pic50,0.005152885980293604
scap25_da10_pic75,0.005086245085230885
scap25_da10_pic90,0.00013284903573608666
scap25_da25_pic10,0.010704460265821843
scap25_da25_pic25,0.004889391576505047
scap25_da25_pic50,0.012428912241938282
scap25_da25_pic75,0.01272584362480159
scap25_da25_pic90,0.014488539910993076
scap25_da50_pic10,0.005655393412027385
scap25_da50_pic25,0.0024116807445899
scap25_da50_pic50,0.013895339785302429
scap25_da50_pic75,0.006797805215127247
scap25_da50_pic90,0.007170318644260115
scap25_da75_pic10,0.0009821408395474863
scap25_da75_pic25,0.001988829243147964
scap25_da75_pic50,0.003395858766612345
scap25_da75_pic75,0.01212436834265492
scap25_da75_pic90,0.014726486602750503
scap25_da90_pic10,0.011385117587885683
scap25_da90_pic25,0.011985217266250302
scap25_da90_pic50,0.000540967632530021
scap25_da90_pic75,0.014713094990856134
scap25_da90_pic90,0.007404357349708033
scap50_da10_pic10,0.01581762438890173
scap50_da10_pic25,0.013798089206518824
scap50_da10_pic50,0.0008871516287637876
scap50_da10_pic75,0.0010970443802870331
scap50_da10_pic90,0.014682712245442
scap50_da25_pic10,0.006131402665447378
scap50_da25_pic25,0.0002555194445251882
scap50_da25_pic50,0.0013098042981957523
scap50_da25_pic75,0.004719136568896501
scap50_da25_pic90,0.0033227097681112635
scap50_da50_pic10,0.016150935189647827
scap50_da50_pic25,0.0044360764353257465
scap50_da50_pic50,0.00628821978859468
scap50_da50_pic75,0.014978451797927637
scap50_da50_pic90,0.00339892469276998
scap50_da75_pic10,0.01248160179527078
scap50_da75_pic25,0.013896606298909984
scap50_da75_pic50,0.004930923793722367
scap50_da75_pic75,0.007554961630719731
scap50_da75_pic90,0.014692958212983036
scap50_da90_pic10,0.005492634727012269
scap50_da90_pic25,0.01411017045184369
scap50_da90_pic50,0.00234560697367175
scap50_da90_pic75,0.010067305969495616
scap50_da90_pic90,0.00843795318288137
scap75_da10_pic10,0.00816576495777447
scap75_da10_pic25,0.0010547021723520135
scap75_da10_pic50,0.004438988608900871
scap75_da10_pic75,0.008190575497271618
scap75_da10_pic90,0.00450124103237601
scap75_da25_pic10,0.01436242213972261
scap75_da25_pic25,0.007277636199847577
scap75_da25_pic50,0.007176618762751985
scap75_da25_pic75,0.015247818857127412
scap75_da25_pic90,0.004151745427571286
scap75_da50_pic10,0.010651235885000315
scap75_da50_pic25,0.012591383619308524
scap75_da50_pic50,0.005503229460136911
scap75_da50_pic75,0.002390124472290738
scap75_da50_pic90,0.013550394573269531
scap75_da75_pic10,0.012043384333539651
scap75_da75_pic25,0.003467562513669817
scap75_da75_pic50,0.005401916777221361
scap75_da75_pic75,0.007302966805976639
scap75_da75_pic90,0.014703945419685388
scap75_da90_pic10,0.008156075545130759
scap75_da90_pic25,0.013896277910054496
scap75_da90_pic50,0.0034673871721415304
scap75_da90_pic75,0.003924071078618613
scap75_da90_pic90,0.008150657929533163
scap90_da10_pic10,0.006730908318002599
scap90_da10_pic25,0.0008322509178186715
scap90_da10_pic50,0.009911216400525662
scap90_da10_pic75,0.003103747193209346
scap90_da10_pic90,0.008854493633392429
scap90_da25_pic10,0.00027719963559871526
scap90_da25_pic25,0.001528309475491166
scap90_da25_pic50,0.012378633003797181
scap90_da25_pic75,0.005798192531576168
scap90_da25_pic90,0.014051794034547137
scap90_da50_pic10,0.0034823464995590945
scap90_da50_pic25,0.007844388707143029
scap90_da50_pic50,0.0074307700173391715
scap90_da50_pic75,0.005013411282264749
scap90_da50_pic90,0.007939553874242082
scap90_da75_pic10,0.005399337658104955
scap90_da75_pic25,0.006070829313622636
scap90_da75_pic50,0.012571265511810044
scap90_da75_pic75,0.004822694774458034
scap90_da75_pic90,0.0019513934689777352
scap90_da90_pic10,0.015307304702521389
scap90_da90_pic25,0.008915696370989051
scap90_da90_pic50,0.00708172110325257
scap90_da90_pic75,0.012834476730957467
scap90_da90_pic90,0.004510725066065747
