timestamp,price,scenario,market,cap_hist,cap_da_hist
2025-05-01 00:00:00+00:00,35.62924316636697,s_000,cap,h_0,h_0
2025-05-01 00:15:00+00:00,35.62924316636697,s_000,cap,h_0,h_0
2025-05-01 00:30:00+00:00,35.62924316636697,s_000,cap,h_0,h_0
2025-05-01 00:45:00+00:00,35.62924316636697,s_000,cap,h_0,h_0
2025-05-01 01:00:00+00:00,41.33085103534533,s_000,cap,h_0,h_0
2025-05-01 01:15:00+00:00,41.33085103534533,s_000,cap,h_0,h_0
2025-05-01 01:30:00+00:00,41.33085103534533,s_000,cap,h_0,h_0
2025-05-01 01:45:00+00:00,41.33085103534533,s_000,cap,h_0,h_0
2025-05-01 02:00:00+00:00,45.14632642530363,s_000,cap,h_0,h_0
2025-05-01 02:15:00+00:00,45.14632642530363,s_000,cap,h_0,h_0
2025-05-01 02:30:00+00:00,45.14632642530363,s_000,cap,h_0,h_0
2025-05-01 02:45:00+00:00,45.14632642530363,s_000,cap,h_0,h_0
2025-05-01 03:00:00+00:00,49.11478885268731,s_000,cap,h_0,h_0
2025-05-01 03:15:00+00:00,49.11478885268731,s_000,cap,h_0,h_0
2025-05-01 03:30:00+00:00,49.11478885268731,s_000,cap,h_0,h_0
2025-05-01 03:45:00+00:00,49.11478885268731,s_000,cap,h_0,h_0
2025-05-01 04:00:00+00:00,56.95104094023325,s_000,cap,h_0,h_0
2025-05-01 04:15:00+00:00,56.95104094023325,s_000,cap,h_0,h_0
2025-05-01 04:30:00+00:00,56.95104094023325,s_000,cap,h_0,h_0
2025-05-01 04:45:00+00:00,56.95104094023325,s_000,cap,h_0,h_0
2025-05-01 05:00:00+00:00,57.42292346734432,s_000,cap,h_0,h_0
2025-05-01 05:15:00+00:00,57.42292346734432,s_000,cap,h_0,h_0
2025-05-01 05:30:00+00:00,57.42292346734432,s_000,cap,h_0,h_0
2025-05-01 05:45:00+00:00,57.42292346734432,s_000,cap,h_0,h_0
2025-05-01 06:00:00+00:00,54.736394883953906,s_000,cap,h_0,h_0
2025-05-01 06:15:00+00:00,54.736394883953906,s_000,cap,h_0,h_0
2025-05-01 06:30:00+00:00,54.736394883953906,s_000,cap,h_0,h_0
2025-05-01 06:45:00+00:00,54.736394883953906,s_000,cap,h_0,h_0
2025-05-01 07:00:00+00:00,49.47893202054897,s_000,cap,h_0,h_0
2025-05-01 07:15:00+00:00,49.47893202054897,s_000,cap,h_0,h_0
